region,stage,nominal_tag,date_obs,channel_angstrom,exposure_s,n_pixels,mean_dn_s,median_dn_s,spatial_mad_dn_s,saturation_fraction_gt15000_dn
front_control_inner,late,144400,2017-04-03T14:44:07.390000,193,0.14804,2764,65.83145393870666,63.68437140209525,10.39019938710257,0.0
front_control_inner,late,144400,2017-04-03T14:43:57.620000,211,2.901163,2764,12.63730690470976,11.961806130132887,2.285910919729473,0.0
front_control_inner,late,144400,2017-04-03T14:44:00.620000,335,2.900762,2764,0.4291025089290845,0.41169235772173496,0.12693044385245988,0.0
front_control_outer,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,3254,0.4164764309266099,0.40507440169890124,0.13344082038297236,0.0
front_control_outer,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,3254,2.104956641015554,1.9698057994390585,0.528653742670024,0.0
front_control_outer,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,3254,99.70595230660342,96.93423604744595,16.11120188681567,0.0
front_control_outer,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,3254,62.55079998567858,57.59272110215777,12.23723095756557,0.0
front_control_outer,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,3254,12.004965456122997,11.11974143330404,2.4166026856372733,0.0
front_control_outer,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,3254,0.44135743634830266,0.4183879777252524,0.14079045191100664,0.0
front_control_outer,early,142000,2017-04-03T14:19:59.120000,94,2.900842,3254,0.42858913777798874,0.41171183188415394,0.11806119254856208,0.0
front_control_outer,early,142000,2017-04-03T14:20:06.630000,131,2.901345,3254,2.1376483053260884,2.0008627982797833,0.5128448020313782,0.0
front_control_outer,early,142000,2017-04-03T14:20:09.340000,171,2.000181,3254,99.13673108287718,96.04960038080489,17.05753494490648,0.0
front_control_outer,early,142000,2017-04-03T14:20:06.640000,193,0.689326,3254,62.667009873323366,58.616089136156816,11.776065269090424,0.0
front_control_outer,early,142000,2017-04-03T14:19:57.630000,211,2.900771,3254,12.063371617408542,11.210665939530088,2.4685447567193384,0.0
front_control_outer,early,142000,2017-04-03T14:20:00.630000,335,2.900824,3254,0.45134691010628897,0.42861143062247026,0.13161190753256172,0.0
front_control_outer,late,144400,2017-04-03T14:43:59.120000,94,2.900843,3254,0.4391659191195539,0.42589110956586684,0.13128067427949552,0.0
front_control_outer,late,144400,2017-04-03T14:44:09.600000,131,0.718117,3254,1.9699512482282968,1.859154962680643,0.751921910953734,0.0
front_control_outer,late,144400,2017-04-03T14:44:09.350000,171,2.000177,3254,99.07717738170031,94.29277542081809,16.921940310691706,0.0
front_control_outer,late,144400,2017-04-03T14:44:07.390000,193,0.14804,3254,63.21925143452179,59.182291855970526,12.795081553798688,0.0
front_control_outer,late,144400,2017-04-03T14:43:57.620000,211,2.901163,3254,12.01392090110127,11.223974850099811,2.3330790193382507,0.0
front_control_outer,late,144400,2017-04-03T14:44:00.620000,335,2.900762,3254,0.4538345836337698,0.43454795002589275,0.14022030455988269,0.0
