relative_path,source_url,sha256,size_bytes,date_obs,wavelength_angstrom,shape_y,shape_x,exptime_s,wcs_valid
2017-04-01/0193/aia_synoptic.0193.20170401_214000.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_214000.fits,4604d232921c7cc27bea86d5098c154684c132b5bd975021f93798e58c6b98df,973440,2017-04-01T21:40:06.940000Z,193,1024,1024,0.479998,true
2017-04-01/0193/aia_synoptic.0193.20170401_214200.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_214200.fits,a0c5735751301fb1ae1386cec1f862ade6cd09737d93f23273f782f62d33d992,887040,2017-04-01T21:42:07.320000Z,193,1024,1024,0.197348,true
2017-04-01/0193/aia_synoptic.0193.20170401_214400.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_214400.fits,d1ab8d4e8e0a71f5581c438406b1d800a21db6380f1919f002c9ad91554f5017,976320,2017-04-01T21:44:06.920000Z,193,1024,1024,0.492289,true
2017-04-01/0193/aia_synoptic.0193.20170401_214600.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_214600.fits,d0988e83237279d2c1c819ae47f2b19a1c3762d2cece4761bc8c3026c60b9485,889920,2017-04-01T21:46:07.320000Z,193,1024,1024,0.201439,true
2017-04-01/0193/aia_synoptic.0193.20170401_214800.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_214800.fits,b2936ecfa0e3140a1bcc3dc2c240792c71163aeb3bc87a9b66af42036c54369d,823680,2017-04-01T21:48:07.480000Z,193,1024,1024,0.084584,true
2017-04-01/0193/aia_synoptic.0193.20170401_215000.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_215000.fits,a65b1492b6c6d18b85c29908b12e7f211b522aded63da97749823fc40534b4b9,895680,2017-04-01T21:50:07.300000Z,193,1024,1024,0.210076,true
2017-04-01/0193/aia_synoptic.0193.20170401_215200.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_215200.fits,5dceabf4e18d0766014e1742ee91becfb1d5307cbc223d4f152123b6df3f103e,820800,2017-04-01T21:52:07.480000Z,193,1024,1024,0.084137,true
2017-04-01/0193/aia_synoptic.0193.20170401_215400.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_215400.fits,b3308f10b967eddfde790c85d31b36f2d26c2ff22662dc2053fe32128198f502,895680,2017-04-01T21:54:07.300000Z,193,1024,1024,0.209662,true
2017-04-01/0193/aia_synoptic.0193.20170401_215600.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_215600.fits,6e6f35e17ded37cac25e83dca8e3361b75c934d48a8226d0e1bc762519f08e0c,820800,2017-04-01T21:56:07.480000Z,193,1024,1024,0.084584,true
2017-04-01/0193/aia_synoptic.0193.20170401_215800.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_215800.fits,c982647c73b9f8eef7900b7dc9a788c7c5f1e039ad2c2403ccf03755af92104b,892800,2017-04-01T21:58:07.300000Z,193,1024,1024,0.210079,true
2017-04-01/0193/aia_synoptic.0193.20170401_220000.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_220000.fits,b8c61270b77a65ec1fdabc3a1e5a4d2fbbcc3d216db7ae2a1e74ffb968f82c3b,820800,2017-04-01T22:00:07.480000Z,193,1024,1024,0.08415,true
2017-04-01/0193/aia_synoptic.0193.20170401_220200.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_220200.fits,ab5d060b4dd32b1256894486445e64cb93a75aad02f8b351d40ec408f72ea6a1,892800,2017-04-01T22:02:07.300000Z,193,1024,1024,0.20966,true
